AK,266338.36
AL,1343514.15
AR,482481.86
AZ,3265988.53
CA,17551455.25
CO,3098028.03
CT,4292471.32
DC,1300495.74
DE,251860.0
FL,13168999.39
GA,3853251.37
HI,240857.12
IA,668103.1
ID,1145814.41
IL,5760565.6
IN,1264040.24
KS,1009271.18
KY,1316206.62
LA,1828247.32
MA,5728298.26
MD,2660201.68
ME,260004.08
MI,3797596.67
MN,942349.45
MO,2216638.14
MS,728852.98
MT,413977.0
NC,2618183.89
ND,182898.0
NE,485203.6
NH,762430.02
NJ,4768875.58
NM,593033.6
NV,1315227.49
NY,12288230.47
OH,3786940.25
OK,2286540.06
OR,1028966.07
PA,4660436.22
RI,298032.92
SC,1264426.18
SD,322014.0
TN,2565368.28
TX,12931977.3
UT,4641434.73
VA,5858619.11
VT,125115.06
WA,2494876.67
WI,1043153.06
WV,472778.89
WY,468193.82
