AK,593837.14
AL,898871.7
AR,549577.73
AZ,2760943.04
CA,32061532.06
CO,4107960.99
CT,3352966.13
DC,167660340.63
DE,538429.44
FL,7575609.4
GA,3423312.7
HI,1076695.53
IA,1138906.0
ID,423872.67
IL,9118570.52
IN,1679498.1
KS,841892.28
KY,967478.03
LA,900897.96
MA,8993989.25
MD,6804948.79
ME,847259.13
MI,3883115.55
MN,2683098.98
MO,1896781.73
MS,421344.9
MT,592254.18
NC,4046478.79
ND,126967.89
NE,463834.58
NH,998811.4
NJ,4987626.56
NM,1645546.6
NV,996848.99
NY,18198650.54
OH,3343178.73
OK,927415.56
OR,2922174.11
PA,5863760.1
RI,593082.86
SC,1141568.62
SD,168146.0
TN,1849243.2
TX,8922853.63
UT,735441.6
VA,6243635.69
VT,801941.43
WA,6245203.12
WI,1997718.74
WV,383182.44
WY,323447.5
